TBOXID,MONTH_START,TOTAL_DISTANCE_KM,USAGE_TYPE,NO_OF_SWAPS,NO_OF_HOMECHARGINGS,FREQUENT_SWIPING_STATIONS,AVG_DISTANCE_PER_PERIOD
865209069519271,2025-06-01 00:00:00.000,125.690467761,Medium Usage,0,10,HOME_CHARGING,6.62
865209069546480,2025-08-01 00:00:00.000,798.671087494,High Usage,27,8,"Thalawathugoda New Station, HOME_CHARGING, Padukka Station",34.72
865209069519669,2024-12-01 00:00:00.000,201.247966169,High Usage,8,0,Moratuwa replace Station,7.74
,2025-09-01 00:00:00.000,0,Low Usage,7,0,Padukka Station,
862487061333304,2025-07-01 00:00:00.000,473.019390652,High Usage,0,7,HOME_CHARGING,24.9
862487061404881,2025-08-01 00:00:00.000,215.561516317,High Usage,0,6,HOME_CHARGING,7.7
865209069519206,2025-04-01 00:00:00.000,127.014885189,Medium Usage,6,0,Padukka Station,14.11
862487061350183,2025-07-01 00:00:00.000,240.960588119,High Usage,0,5,HOME_CHARGING,9.64
865209069519941,2025-08-01 00:00:00.000,40.736185352,Low Usage,0,5,HOME_CHARGING,6.79
865209060779635,2024-08-01 00:00:00.000,83.793033894,Medium Usage,5,0,Boralla Temporary Station,2.79
865209069520816,2025-09-01 00:00:00.000,265.801552256,High Usage,5,0,Thalawathugoda New Station,12.08
862487061409948,2025-10-01 00:00:00.000,0,Low Usage,1,4,"HOME_CHARGING, Panadura  1 Station",
865209069519156,2025-02-01 00:00:00.000,254.297561985,High Usage,13,0,"Seeduwa Station, Paliayagoda Station, Kadawatha Station",18.16
865209069519701,2025-06-01 00:00:00.000,79.425176179,Medium Usage,4,0,"Boralesgamuwa new Station, Soysapura Station",5.3
865209069519701,2025-08-01 00:00:00.000,61.592396427,Medium Usage,3,0,Soysapura Station,4.4
865209060420784,2025-02-01 00:00:00.000,16.009800725,Low Usage,5,0,"Thalawathugoda New Station, Boralesgamuwa new Station",2
862487061332082,2025-07-01 00:00:00.000,109.939561032,Medium Usage,0,2,HOME_CHARGING,3.55
865209069519230,2025-05-01 00:00:00.000,2.319799707,Low Usage,2,0,Bandaragama Station,1.16
865209060960599,2025-07-01 00:00:00.000,28.695282705,Low Usage,2,0,Bandaragama Station,9.57
,2025-10-01 00:00:00.000,0,Low Usage,1,1,"Kuliyapitiya, HOME_CHARGING",
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
865209069518646,2025-08-01 00:00:00.000,0.6427452872,Low Usage,0,1,HOME_CHARGING,0.32
865209069519925,2025-08-01 00:00:00.000,1.569338543,Low Usage,1,1,"HOME_CHARGING, Maggona",1.57
862487061423329,2025-09-01 00:00:00.000,14.092228442,Low Usage,0,1,HOME_CHARGING,7.05
862487061409609,2025-07-01 00:00:00.000,827.87078738,High Usage,0,11,HOME_CHARGING,26.71
865209069519206,2025-03-01 00:00:00.000,268.527679153,High Usage,8,0,Padukka Station,15.8
865209069520931,2025-05-01 00:00:00.000,44.318821276,Low Usage,2,4,"HOME_CHARGING, Padukka Station",4.03
865209069520444,2025-06-01 00:00:00.000,17.01581316,Low Usage,3,3,"Maggona, HOME_CHARGING",2.13
865209060765386,2024-03-01 00:00:00.000,0,Low Usage,2,0,Boralesgamuwa new Station,
,2025-09-01 00:00:00.000,0,Low Usage,1,0,Agalawaththa,
862487061378663,2025-08-01 00:00:00.000,57.741082732,Medium Usage,1,0,Panadura  1 Station,11.55
865209069519313,2025-03-01 00:00:00.000,713.395591701,High Usage,32,0,Moratuwa replace Station,24.6
862487061364101,2025-08-01 00:00:00.000,693.951295795,High Usage,0,21,HOME_CHARGING,30.17
865209069519420,2025-03-01 00:00:00.000,519.752250576,High Usage,23,0,"Bandaragama Station, Panadura",17.33
862487061362923,2025-08-01 00:00:00.000,1514.191577164,High Usage,15,20,"HOME_CHARGING, Padukka Station",52.21
862487061405086,2025-08-01 00:00:00.000,826.733494016,High Usage,2,20,"HOME_CHARGING, Kalutara North",27.56
865209069545797,2025-04-01 00:00:00.000,796.173723492,High Usage,19,0,"Bandaragama Station, Panadura",31.85
865209069546225,2025-06-01 00:00:00.000,351.65178724,High Usage,0,16,HOME_CHARGING,14.65
865209069519669,2024-01-01 00:00:00.000,192.312281788,High Usage,16,0,"Moratuwa Station, TestStation",8.74
862487061348005,2025-08-01 00:00:00.000,800.958469546,High Usage,1,15,"HOME_CHARGING, Agalawaththa",26.7
862487061422925,2025-10-01 00:00:00.000,184.380701944,High Usage,0,11,HOME_CHARGING,9.7
865209060771624,2025-05-01 00:00:00.000,358.545563062,High Usage,1,11,"HOME_CHARGING, Maggona",12.81
865209069520857,2025-08-01 00:00:00.000,86.48049365,Medium Usage,0,10,HOME_CHARGING,5.09
865209069519016,2025-05-01 00:00:00.000,224.185237115,High Usage,9,0,Panadura  1 Station,10.68
862487061379588,2025-08-01 00:00:00.000,174.389488513,High Usage,0,7,HOME_CHARGING,15.85
865209060460707,2025-08-01 00:00:00.000,137.7141872,Medium Usage,6,0,"Bandaragama Station, Panadura  1 Station",4.59
865209069520691,2025-08-01 00:00:00.000,90.764772394,Medium Usage,5,0,Bandaragama Station,4.78
865209069519701,2025-07-01 00:00:00.000,80.82008346,Medium Usage,4,0,"Boralesgamuwa new Station, Soysapura Station",5.05
,2025-10-01 00:00:00.000,0,Low Usage,2,0,Kalutara North,
,2025-10-01 00:00:00.000,0,Low Usage,1,2,"HOME_CHARGING, Kuliyapitiya",
,2025-07-01 00:00:00.000,0,Low Usage,2,0,"Panadura  1 Station, Bandaragama Station",
,2025-09-01 00:00:00.000,0,Low Usage,1,0,Panadura  1 Station,
865209069521061,2024-12-01 00:00:00.000,552.21487413,High Usage,23,0,"Miriswatta Station, Udugampola Station",18.41
865209069546068,2024-04-01 00:00:00.000,343.532511074,High Usage,14,0,"Thalawathugoda New Station, Factory Station",19.09
865209060765386,2025-08-01 00:00:00.000,650.115605448,High Usage,23,0,"Soysapura Station, Thalawathugoda New Station, Panadura  1 Station",28.27
865209060494003,2024-11-01 00:00:00.000,148.664132568,Medium Usage,10,0,Seeduwa Station,6.46
865209069519941,2024-06-01 00:00:00.000,256.203713156,High Usage,10,0,Boralesgamuwa new Station,10.68
865209069520691,2025-02-01 00:00:00.000,359.546343213,High Usage,10,0,Bandaragama Station,15.63
,2025-10-01 00:00:00.000,0,Low Usage,18,2,"Kalutara North, Panadura  1 Station, HOME_CHARGING",
865209069520857,2025-09-01 00:00:00.000,94.458482483,Medium Usage,0,7,HOME_CHARGING,6.75
865209060215168,2025-04-01 00:00:00.000,170.357849538,High Usage,2,7,"HOME_CHARGING, Boralesgamuwa new Station",13.1
865209060487676,2025-07-01 00:00:00.000,37.599010976,Low Usage,0,7,HOME_CHARGING,3.13
865209069519669,2025-01-01 00:00:00.000,167.674876351,High Usage,6,0,Moratuwa replace Station,7.98
862487061422925,2025-08-01 00:00:00.000,190.710562895,High Usage,0,5,HOME_CHARGING,7.95
865209069520907,2025-05-01 00:00:00.000,132.058022065,Medium Usage,2,5,"HOME_CHARGING, Kolonnawa Station",12.01
865209069520006,2025-04-01 00:00:00.000,255.318537935,High Usage,4,1,"Padukka Station, HOME_CHARGING",9.12
,2025-09-01 00:00:00.000,0,Low Usage,4,0,Bandaragama Station,
865209069518752,2025-03-01 00:00:00.000,46.839178404,Low Usage,3,0,Panadura,5.2
865209069545813,2025-10-01 00:00:00.000,110.020758018,Medium Usage,0,3,HOME_CHARGING,13.75
865209060960599,2025-06-01 00:00:00.000,33.770253342,Low Usage,3,0,Bandaragama Station,8.44
865209069519073,2025-02-01 00:00:00.000,241.204647961,High Usage,6,0,"Beruwala Station, Maggona, Paliayagoda Station",40.2
865209069519180,2025-03-01 00:00:00.000,0,Low Usage,2,0,Boralesgamuwa new Station,
862487061422180,2025-06-01 00:00:00.000,11.763662284,Low Usage,1,0,Maggona,11.76
865209069520022,2025-04-01 00:00:00.000,39.85315136,Low Usage,1,0,Panadura,9.96
865209069546068,2024-08-01 00:00:00.000,2852.918959377,High Usage,2,0,"Thalawathugoda New Station, Boralesgamuwa new Station",95.1
,2025-10-01 00:00:00.000,0,Low Usage,7,0,Bandaragama Station,
862487061332025,2025-10-01 00:00:00.000,449.158470378,High Usage,0,7,HOME_CHARGING,22.46
865209060460707,2025-03-01 00:00:00.000,149.104953839,Medium Usage,5,0,Bandaragama Station,5.14
862487061350001,2025-09-01 00:00:00.000,244.581916948,High Usage,4,0,Dharga Town Station,20.38
865209069546258,2025-09-01 00:00:00.000,282.524327135,High Usage,5,0,"Soysapura Station, Paliayagoda Station",21.73
865209069519479,2025-10-01 00:00:00.000,293.466566287,High Usage,0,3,HOME_CHARGING,19.56
865209069519974,2025-06-01 00:00:00.000,24.375954399,Low Usage,3,0,"Seeduwa Station, Katunayake Station",12.19
865209069546225,2025-03-01 00:00:00.000,480.960449446,High Usage,2,0,"Beruwala Station, Maggona",17.18
862487061333346,2025-06-01 00:00:00.000,956.804287132,High Usage,41,1,"Agalawaththa, HOME_CHARGING",31.89
865209069519941,2025-03-01 00:00:00.000,610.81190216,High Usage,23,0,"Boralesgamuwa new Station, Panadura, Bandaragama Station",25.45
865209069519313,2025-07-01 00:00:00.000,492.492340319,High Usage,22,0,"Moratuwa replace Station, Soysapura Station",15.89
865209069519875,2025-06-01 00:00:00.000,582.498357591,High Usage,0,16,HOME_CHARGING,24.27
865209060597102,2025-08-01 00:00:00.000,250.316153879,High Usage,1,16,"HOME_CHARGING, Maggona",10.01
862487061331647,2025-10-01 00:00:00.000,599.561980927,High Usage,0,13,HOME_CHARGING,29.98
862487061422107,2025-08-01 00:00:00.000,541.442105284,High Usage,0,12,HOME_CHARGING,20.82
865209069519503,2025-07-01 00:00:00.000,593.388336658,High Usage,20,0,"Kolonnawa Station, Boralla Temporary Station, Miriswatta Station",32.97
862487061404188,2025-07-01 00:00:00.000,580.875458954,High Usage,0,12,HOME_CHARGING,19.36
862487061383200,2025-08-01 00:00:00.000,389.901475039,High Usage,1,12,"HOME_CHARGING, Thalawathugoda New Station",13
862487061363665,2025-09-01 00:00:00.000,408.312176355,High Usage,0,11,HOME_CHARGING,14.08
865209069521004,2025-03-01 00:00:00.000,148.603076645,Medium Usage,11,0,Moratuwa replace Station,9.91
862487061348062,2025-10-01 00:00:00.000,201.323532097,High Usage,0,10,HOME_CHARGING,10.6
,2025-10-01 00:00:00.000,0,Low Usage,22,0,"Moratuwa replace Station, Soysapura Station, Panadura  1 Station",
,2025-09-01 00:00:00.000,0,Low Usage,11,0,"Panadura  1 Station, Moratuwa replace Station, Soysapura Station",
862487061332066,2025-07-01 00:00:00.000,359.726355201,High Usage,0,9,HOME_CHARGING,15.64
862487061422347,2025-09-01 00:00:00.000,497.245507777,High Usage,6,8,"HOME_CHARGING, Kalutara North, Soysapura Station",33.15
865209069521046,2024-01-01 00:00:00.000,202.384044062,High Usage,10,0,"Thalawathugoda Station, Boralesgamuwa new Station",11.24
862487061433187,2025-10-01 00:00:00.000,141.571433537,Medium Usage,0,7,HOME_CHARGING,7.08
865209069519859,2025-05-01 00:00:00.000,0,Low Usage,7,0,Padukka Station,
865209069519073,2025-07-01 00:00:00.000,275.384784342,High Usage,5,7,"HOME_CHARGING, Dharga Town Station, Agalawaththa",11.02
865209069520071,2025-03-01 00:00:00.000,136.604409485,Medium Usage,6,0,Padukka Station,6.5
865209069520691,2025-04-01 00:00:00.000,187.567776847,High Usage,6,0,Bandaragama Station,9.38
865209069519594,2025-08-01 00:00:00.000,107.771571667,Medium Usage,0,6,HOME_CHARGING,4.69
865209069546084,2025-10-01 00:00:00.000,26.028339736,Low Usage,0,4,HOME_CHARGING,3.72
,2025-09-01 00:00:00.000,0,Low Usage,4,0,Boralla Temporary Station,
,2025-09-01 00:00:00.000,0,Low Usage,2,0,Padukka Station,
,2025-06-01 00:00:00.000,0,Low Usage,2,0,Thalawathugoda New Station,
,2025-10-01 00:00:00.000,0,Low Usage,1,0,Moratuwa replace Station,
865209069520717,2024-12-01 00:00:00.000,9.51010008,Low Usage,1,0,Panadura,1.9
862487061403909,2025-07-01 00:00:00.000,0,Low Usage,1,0,Bandaragama Station,
862487061377608,2025-07-01 00:00:00.000,112.307684158,Medium Usage,0,1,HOME_CHARGING,8.02
865209069519529,2025-04-01 00:00:00.000,42.441488192,Low Usage,1,0,Padukka Station,6.06
862487061362923,2025-10-01 00:00:00.000,0,Low Usage,2,17,"HOME_CHARGING, Padukka Station",
865209069520881,2025-05-01 00:00:00.000,213.257820971,High Usage,14,0,"Panadura  1 Station, Bandaragama Station",15.23
865209069520816,2025-07-01 00:00:00.000,358.125893304,High Usage,19,0,"Thalawathugoda New Station, Boralla Temporary Station",16.28
865209069519206,2025-02-01 00:00:00.000,295.883872639,High Usage,10,0,Padukka Station,13.45
865209069518778,2025-04-01 00:00:00.000,397.609046478,High Usage,18,0,"Moratuwa replace Station, Paliayagoda Station, Bandaragama Station",15.9
865209060771624,2025-10-01 00:00:00.000,356.877307588,High Usage,0,10,HOME_CHARGING,19.83
865209060765386,2024-06-01 00:00:00.000,200.436666171,High Usage,11,0,"Boralesgamuwa new Station, Thalawathugoda New Station",20.04
865209069519255,2024-06-01 00:00:00.000,233.399364491,High Usage,10,0,Moratuwa replace Station,9.34
865209069519669,2023-12-01 00:00:00.000,141.806764238,Medium Usage,9,0,Moratuwa Station,6.75
,2025-10-01 00:00:00.000,0,Low Usage,10,0,"Moratuwa replace Station, Soysapura Station",
862487061332025,2025-09-01 00:00:00.000,515.681979639,High Usage,0,8,HOME_CHARGING,17.78
865209060623064,2025-08-01 00:00:00.000,167.569926844,High Usage,8,0,Panadura  1 Station,11.17
865209069520071,2025-10-01 00:00:00.000,428.153092974,High Usage,0,7,HOME_CHARGING,32.93
865209060779635,2025-06-01 00:00:00.000,115.081107438,Medium Usage,7,0,Boralla Temporary Station,4.43
862487061409385,2025-09-01 00:00:00.000,305.936831126,High Usage,0,7,HOME_CHARGING,18
862487061347700,2025-07-01 00:00:00.000,480.165918702,High Usage,0,7,HOME_CHARGING,16.01
862487061422180,2025-09-01 00:00:00.000,473.699998271,High Usage,1,6,"HOME_CHARGING, Maggona",16.92
865209069546233,2025-03-01 00:00:00.000,262.466533972,High Usage,8,0,"Boralesgamuwa new Station, Kolonnawa Station, Soysapura Station",18.75
865209069519487,2025-10-01 00:00:00.000,124.149062109,Medium Usage,0,6,HOME_CHARGING,6.53
865209060621381,2025-04-01 00:00:00.000,97.830961098,Medium Usage,0,5,HOME_CHARGING,6.99
865209060215168,2025-05-01 00:00:00.000,130.785183336,Medium Usage,3,5,"HOME_CHARGING, Boralesgamuwa new Station",10.06
865209069546084,2025-08-01 00:00:00.000,2.091272458,Low Usage,1,5,"HOME_CHARGING, Maggona",0.42
862487061403784,2025-09-01 00:00:00.000,321.470221268,High Usage,0,4,HOME_CHARGING,13.98
865209069519016,2025-08-01 00:00:00.000,38.005407698,Low Usage,2,0,Panadura  1 Station,5.43
865209069519503,2025-10-01 00:00:00.000,205.034199806,High Usage,0,2,HOME_CHARGING,18.64
865209069546506,2025-04-01 00:00:00.000,67.942192541,Medium Usage,1,2,"HOME_CHARGING, Panadura",9.71
865209060173102,2025-03-01 00:00:00.000,6.503010298,Low Usage,1,0,Dharga Town Station,0.93
865209069519156,2025-04-01 00:00:00.000,14.262074111,Low Usage,1,0,Paliayagoda Station,2.04
,2025-09-01 00:00:00.000,0,Low Usage,1,0,Maggona,
862487061409526,2025-10-01 00:00:00.000,242.891542408,High Usage,0,7,HOME_CHARGING,12.14
865209069519255,2024-02-01 00:00:00.000,232.365409246,High Usage,6,0,Moratuwa Station,9.68
865209069546357,2025-01-01 00:00:00.000,163.45378971,High Usage,6,0,Boralesgamuwa new Station,6.81
865209060487676,2025-04-01 00:00:00.000,0,Low Usage,0,4,HOME_CHARGING,
865209069546357,2024-01-01 00:00:00.000,90.23732098,Medium Usage,3,0,Boralesgamuwa new Station,6.02
862487061333742,2025-06-01 00:00:00.000,178.767093701,High Usage,2,1,"Panadura  1 Station, HOME_CHARGING",9.41
,2025-10-01 00:00:00.000,0,Low Usage,0,2,HOME_CHARGING,
,2025-10-01 00:00:00.000,0,Low Usage,2,0,Boralla Temporary Station,
,2025-10-01 00:00:00.000,0,Low Usage,1,0,Miriswatta Station,
862487061409724,2025-06-01 00:00:00.000,382.643037995,High Usage,1,0,Maggona,14.17
865209069521004,2025-10-01 00:00:00.000,17.744978817,Low Usage,0,1,HOME_CHARGING,2.96
862487061403784,2025-05-01 00:00:00.000,73.493948553,Medium Usage,1,0,Bandaragama Station,14.7
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
865209069519354,2025-07-01 00:00:00.000,1005.264544357,High Usage,41,1,"Panadura  1 Station, Soysapura Station, Moratuwa replace Station",32.43
865209069520550,2025-06-01 00:00:00.000,484.055196265,High Usage,0,25,HOME_CHARGING,16.14
862487061408940,2025-08-01 00:00:00.000,642.534713781,High Usage,23,11,"Agalawaththa, HOME_CHARGING",25.7
862487061348005,2025-09-01 00:00:00.000,980.600836154,High Usage,0,21,HOME_CHARGING,33.81
865209069519941,2024-09-01 00:00:00.000,402.003121089,High Usage,17,0,Boralesgamuwa new Station,18.27
865209069521194,2025-06-01 00:00:00.000,499.681605075,High Usage,2,17,"HOME_CHARGING, Thalawathugoda New Station, Kolonnawa Station",19.99
862487061332249,2025-08-01 00:00:00.000,1011.792472835,High Usage,8,15,"HOME_CHARGING, Beruwala Station, Maggona",33.73
865209060765386,2025-02-01 00:00:00.000,427.225572148,High Usage,19,1,"Boralesgamuwa new Station, Thalawathugoda New Station, Bandaragama Station",21.36
865209069545797,2025-05-01 00:00:00.000,486.47644611,High Usage,15,0,Bandaragama Station,19.46
865209069520527,2025-04-01 00:00:00.000,249.708987137,High Usage,0,14,HOME_CHARGING,8.32
865209060215168,2025-09-01 00:00:00.000,234.185052373,High Usage,1,13,"HOME_CHARGING, Thalawathugoda New Station",19.52
865209069519537,2025-04-01 00:00:00.000,390.42736203,High Usage,16,7,"Bandaragama Station, HOME_CHARGING, Panadura",21.69
,2025-09-01 00:00:00.000,0,Low Usage,12,0,Panadura  1 Station,
865209060491306,2025-05-01 00:00:00.000,222.254008504,High Usage,11,7,"Kochchikade Station, HOME_CHARGING",9.66
,2024-06-01 00:00:00.000,0,Low Usage,11,0,Boralesgamuwa new Station,
865209069519941,2025-05-01 00:00:00.000,234.336410401,High Usage,12,0,"Boralesgamuwa new Station, Moratuwa replace Station, Bandaragama Station",15.62
862487061363723,2025-09-01 00:00:00.000,167.032658712,High Usage,0,10,HOME_CHARGING,5.97
,2025-10-01 00:00:00.000,0,Low Usage,10,0,"Panadura  1 Station, Kalutara North",
865209069519479,2025-09-01 00:00:00.000,127.772051235,Medium Usage,1,9,"HOME_CHARGING, Maggona",9.13
Deleted,2023-10-01 00:00:00.000,0,Low Usage,9,0,Factory Station,
Deleted 01,2023-10-01 00:00:00.000,0,Low Usage,9,0,Factory Station,
865209069520956,2025-09-01 00:00:00.000,123.982695671,Medium Usage,0,8,HOME_CHARGING,8.27
865209069519701,2025-09-01 00:00:00.000,223.865452681,High Usage,2,6,"HOME_CHARGING, Soysapura Station",10.18
862487061332041,2025-07-01 00:00:00.000,635.593508149,High Usage,0,6,HOME_CHARGING,20.5
865209069521046,2024-06-01 00:00:00.000,101.190270692,Medium Usage,4,0,Thalawathugoda New Station,9.2
865209060621381,2025-07-01 00:00:00.000,58.772645059,Medium Usage,5,1,"Maggona, HOME_CHARGING, Beruwala Station",4.9
865209069519008,2025-04-01 00:00:00.000,53.811214823,Medium Usage,0,4,HOME_CHARGING,3.17
865209060779635,2024-05-01 00:00:00.000,63.125757846,Medium Usage,3,0,"Thalawathugoda New Station, Moratuwa Station",3.32
,2025-10-01 00:00:00.000,0,Low Usage,2,0,Bandaragama Station,
862487061404766,2025-08-01 00:00:00.000,4.899613954,Low Usage,0,1,HOME_CHARGING,1.22
865209060494003,2024-10-01 00:00:00.000,35.348850829,Low Usage,1,0,Seeduwa Station,3.93
862487061350001,2025-10-01 00:00:00.000,258.204100692,High Usage,0,1,HOME_CHARGING,17.21
,2025-10-01 00:00:00.000,0,Low Usage,1,1,"Panadura  1 Station, HOME_CHARGING",
865209069520006,2025-08-01 00:00:00.000,609.752610137,High Usage,1,19,"HOME_CHARGING, Padukka Station",21.03
865209069545557,2025-09-01 00:00:00.000,459.640873279,High Usage,0,18,HOME_CHARGING,16.42
862487061377426,2025-09-01 00:00:00.000,353.174847663,High Usage,0,12,HOME_CHARGING,12.18
862487061430829,2025-09-01 00:00:00.000,439.187901915,High Usage,0,11,HOME_CHARGING,15.14
862487061462327,2025-07-01 00:00:00.000,578.22145999,High Usage,1,10,"HOME_CHARGING, Maggona",18.65
862487061403743,2025-10-01 00:00:00.000,871.930681437,High Usage,0,8,HOME_CHARGING,43.6
865209069519669,2025-05-01 00:00:00.000,197.293859544,High Usage,7,0,Moratuwa replace Station,8.22
865209060420784,2025-08-01 00:00:00.000,5.997228659,Low Usage,0,6,HOME_CHARGING,0.75
865209069546357,2024-06-01 00:00:00.000,100.899462557,Medium Usage,5,0,Boralesgamuwa new Station,10.09
865209069519669,2024-10-01 00:00:00.000,147.194288591,Medium Usage,5,0,Moratuwa replace Station,7.36
865209069546423,2025-05-01 00:00:00.000,38.093669717,Low Usage,5,1,"Boralesgamuwa new Station, Moratuwa replace Station, HOME_CHARGING",7.62
862487061377426,2025-06-01 00:00:00.000,91.768864074,Medium Usage,0,4,HOME_CHARGING,6.12
,2025-10-01 00:00:00.000,0,Low Usage,0,4,HOME_CHARGING,
,2025-09-01 00:00:00.000,0,Low Usage,4,0,Kalutara North,
865209069519495,2025-07-01 00:00:00.000,225.606212959,High Usage,0,3,HOME_CHARGING,8.68
865209069545557,2025-05-01 00:00:00.000,42.687172693,Low Usage,0,3,HOME_CHARGING,7.11
,2025-10-01 00:00:00.000,0,Low Usage,5,0,"Moratuwa replace Station, Soysapura Station",
862487061423329,2025-10-01 00:00:00.000,0.08063731807,Low Usage,0,1,HOME_CHARGING,0.08
865209069520717,2025-09-01 00:00:00.000,55.221162316,Medium Usage,1,0,Panadura  1 Station,6.14
865209069519925,2025-10-01 00:00:00.000,2.657763089,Low Usage,0,1,HOME_CHARGING,2.66
865209060494003,2025-06-01 00:00:00.000,0,Low Usage,1,0,Seeduwa Station,
865209069546456,2025-01-01 00:00:00.000,115.105099996,Medium Usage,1,0,Soysapura,8.85
,2025-09-01 00:00:00.000,0,Low Usage,3,0,"Katunayake Station, Miriswatta Station, Udugampola Station",
865209069519263,2025-07-01 00:00:00.000,63.880333499,Medium Usage,1,1,"Paliayagoda Station, HOME_CHARGING",31.94
862487061332983,2025-08-01 00:00:00.000,250.716135361,High Usage,5,10,"HOME_CHARGING, Panadura  1 Station",10.03
,2025-10-01 00:00:00.000,0,Low Usage,5,0,Boralla Temporary Station,
865209060519718,2025-05-01 00:00:00.000,22.020499588,Low Usage,0,4,HOME_CHARGING,2
865209069519800,2025-09-01 00:00:00.000,12.627042919,Low Usage,0,3,HOME_CHARGING,1.26
865209069518984,2025-04-01 00:00:00.000,190.162537693,High Usage,4,0,"Bandaragama Station, Panadura, Panadura  1 Station",6.56
,2024-03-01 00:00:00.000,0,Low Usage,2,0,Boralesgamuwa new Station,
865209069520972,2025-03-01 00:00:00.000,34.483743158,Low Usage,1,0,Maggona,2.46
865209069518679,2025-10-01 00:00:00.000,162.610790704,High Usage,0,3,HOME_CHARGING,9.03
865209069546068,2025-03-01 00:00:00.000,113.222776689,Medium Usage,31,0,"Thalawathugoda New Station, Boralesgamuwa new Station",28.31
862487061363624,2025-08-01 00:00:00.000,1698.056058502,High Usage,7,24,"HOME_CHARGING, Bandaragama Station, Panadura  1 Station",56.6
865209069519420,2025-04-01 00:00:00.000,1115.111601215,High Usage,31,3,"Bandaragama Station, Panadura, Panadura  1 Station",37.17
862487061332066,2025-08-01 00:00:00.000,421.237614013,High Usage,0,18,HOME_CHARGING,15.6
865209069520527,2025-06-01 00:00:00.000,221.639648852,High Usage,0,16,HOME_CHARGING,7.64
862487061404188,2025-08-01 00:00:00.000,348.142985678,High Usage,0,16,HOME_CHARGING,15.14
865209069519941,2024-10-01 00:00:00.000,392.843407087,High Usage,16,0,Boralesgamuwa new Station,16.37
865209069520048,2025-07-01 00:00:00.000,430.474247282,High Usage,14,0,Maggona,17.22
865209069546480,2025-07-01 00:00:00.000,1046.101941701,High Usage,24,10,"Padukka Station, HOME_CHARGING, Thalawathugoda New Station",36.07
865209069545995,2025-07-01 00:00:00.000,275.412829644,High Usage,2,12,"HOME_CHARGING, Udugampola Station, Paliayagoda Station",11.97
865209069518521,2025-09-01 00:00:00.000,233.571575909,High Usage,0,10,HOME_CHARGING,8.65
865209069546316,2025-06-01 00:00:00.000,202.256429486,High Usage,3,9,"HOME_CHARGING, Panadura  1 Station, Boralesgamuwa new Station",10.65
865209069546233,2025-04-01 00:00:00.000,511.821695549,High Usage,12,5,"Boralesgamuwa new Station, HOME_CHARGING, Thalawathugoda New Station",22.25
862487061350001,2025-07-01 00:00:00.000,214.080409205,High Usage,7,0,Dharga Town Station,9.31
865209069519669,2024-06-01 00:00:00.000,181.032137184,High Usage,6,0,Moratuwa replace Station,9.05
865209069545904,2024-03-01 00:00:00.000,528.817908961,High Usage,12,0,"Thalawathugoda Station, Factory Station, Boralesgamuwa new Station",29.38
862487061433161,2025-07-01 00:00:00.000,483.861860113,High Usage,0,5,HOME_CHARGING,19.35
865209069519594,2025-07-01 00:00:00.000,61.170005475,Medium Usage,0,4,HOME_CHARGING,2.91
123456,2024-11-01 00:00:00.000,0,Low Usage,2,0,MockStation,
Deleted 02,2024-11-01 00:00:00.000,0,Low Usage,2,0,MockStation,
862487061430845,2025-07-01 00:00:00.000,92.17365601,Medium Usage,1,0,Kuliyapitiya,15.36
865209069518539,2025-04-01 00:00:00.000,387.687003525,High Usage,19,0,"Soysapura Station, Boralesgamuwa new Station, Boralla Temporary Station",22.81
862487061422925,2025-09-01 00:00:00.000,237.732993366,High Usage,0,10,HOME_CHARGING,8.49
865209069546316,2025-05-01 00:00:00.000,184.347276796,High Usage,4,9,"HOME_CHARGING, Panadura  1 Station",8.02
865209069519669,2025-07-01 00:00:00.000,186.371932339,High Usage,7,0,Moratuwa replace Station,8.47
865209069519883,2025-07-01 00:00:00.000,176.933488306,High Usage,4,6,"HOME_CHARGING, Miriswatta Station, Katunayake Station",5.9
862487061405086,2025-07-01 00:00:00.000,250.929486932,High Usage,0,6,HOME_CHARGING,14.76
865209069546431,2024-02-01 00:00:00.000,111.129487946,Medium Usage,5,0,Moratuwa Station,5.85
865209069519974,2025-07-01 00:00:00.000,18.249779927,Low Usage,5,0,Seeduwa Station,9.12
865209069519438,2025-07-01 00:00:00.000,117.416426888,Medium Usage,6,0,"Panadura  1 Station, Soysapura Station",5.87
865209069546423,2025-10-01 00:00:00.000,107.719694532,Medium Usage,0,4,HOME_CHARGING,15.39
862487061332702,2025-06-01 00:00:00.000,106.258206347,Medium Usage,0,3,HOME_CHARGING,8.17
865209069520162,2025-03-01 00:00:00.000,91.227510504,Medium Usage,3,0,Maggona,18.25
865209069519008,2025-08-01 00:00:00.000,47.494112684,Low Usage,0,3,HOME_CHARGING,3.96
Deleted,2024-04-01 00:00:00.000,0,Low Usage,2,0,TestStation,
Deleted 01,2024-04-01 00:00:00.000,0,Low Usage,2,0,TestStation,
865209060263697,2025-01-01 00:00:00.000,15.001552517,Low Usage,1,0,Panadura,2.5
,2025-10-01 00:00:00.000,0,Low Usage,1,0,Maggona,
865209069519446,2025-02-01 00:00:00.000,195.706769271,High Usage,0,1,HOME_CHARGING,10.3
